metric,value
eligible_orders,98207
unique_customers,94990
revenue,15739137.01
average_order_value,160.26655204366332
repeat_customer_rate_pct,3.0403200336877565
strongest_complete_month,2017-11
strongest_month_revenue,1172639.23
strongest_month_orders,7423
average_delivery_days,12.558217098051976
late_delivery_rate_pct,8.112366538820359
average_review_score,4.08642062404257
late_review_mean,2.5664935064935066
late_review_median,2.0
late_review_n,7700
ontime_review_mean,4.2937182046856845
ontime_review_median,5.0
ontime_review_n,88653
delay_review_pearson,-0.26667777317865016
delay_review_spearman,-0.17571034745068248
delay_review_n,96353
freight_delivery_pearson,0.1671709248327566
freight_delivery_spearman,0.38150530174403235
freight_delivery_n,96470
order_freight_pearson,0.4922955527016275
order_installments_spearman,0.38185732392371347
minimum_item_price,0.85
maximum_item_price,6735.0
negative_item_prices,0
negative_freight_values,0
negative_delivery_durations,0
purchase_date_min,2016-09-04 21:15:19
purchase_date_max,2018-09-03 09:06:57
sp_delivery_mean_days,8.761385996084925
rj_delivery_mean_days,15.30943754217274
mg_delivery_mean_days,12.008665646060452
products_missing_category,610
zero_installment_payments,2
undefined_payment_methods,3
delivered_missing_timestamp,8
