model,fold,mae,rmse,mape,smape,target
NaiveLastValue,1,64.13333333333334,75.48951362054645,31.589838085453625,25.66159209623534,daily_orders
HistoricalMean,1,103.1649930264993,121.30674827760873,37.24080491947018,48.010273134238496,daily_orders
SeasonalNaive7,1,45.333333333333336,55.86292748027682,19.798279410979223,18.710538990700684,daily_orders
RollingMean7,1,55.83600058953487,68.89137948070004,23.058845501602292,22.863302571097922,daily_orders
LinearRegression,1,51.38578387583947,61.92427624649231,25.154678821580312,21.06313183568994,daily_orders
RandomForestRegressor,1,47.83279803770306,60.05169501699432,19.60245368374613,19.53029936854855,daily_orders
HistGradientBoostingRegressor,1,48.67781509684516,61.484622996283754,19.60342406619235,19.96156185581537,daily_orders
NaiveLastValue,2,60.3,72.40971389714689,29.729774614541714,35.40260781321214,daily_orders
HistoricalMean,2,48.632939632545956,58.436290330938384,25.6299647319907,27.525066730335904,daily_orders
SeasonalNaive7,2,48.56666666666667,60.70392628707526,29.82666388500907,26.76797189780419,daily_orders
RollingMean7,2,43.114887822364125,51.32595525927667,25.424163003894613,24.177199715087728,daily_orders
LinearRegression,2,86.9431057089593,94.92282769338291,50.71984806347483,39.02868856341408,daily_orders
RandomForestRegressor,2,31.3971930584231,40.38631660663749,22.222411855347943,18.19379449897804,daily_orders
HistGradientBoostingRegressor,2,54.95151326675709,64.77658331889974,28.040420962620832,33.07783310188527,daily_orders
NaiveLastValue,3,45.63333333333333,52.8150862285894,26.561224040702992,25.146649472987495,daily_orders
HistoricalMean,3,49.49157372986369,60.608996880026616,25.310292079021053,27.40801199967078,daily_orders
SeasonalNaive7,3,38.46666666666667,51.090116461014254,25.021851544658684,21.189008618954357,daily_orders
RollingMean7,3,47.399554682251505,56.78371810642325,31.894358300321574,25.83278951164285,daily_orders
LinearRegression,3,98.15150207378065,115.13053984044258,65.27439207803708,43.47471606356773,daily_orders
RandomForestRegressor,3,42.86171646945647,56.294886720582724,29.34185933973837,23.268544966426187,daily_orders
HistGradientBoostingRegressor,3,42.31512344159088,56.42155867743659,28.72222839261002,22.768066378421697,daily_orders
NaiveLastValue,1,10398.645666666667,12342.226312606248,30.753760922703172,25.722680653610677,daily_revenue
HistoricalMean,1,17974.97772803348,21336.841760267245,38.85059755330468,50.90099671087774,daily_revenue
SeasonalNaive7,1,9245.984666666665,11037.497721866734,25.2838583285341,23.988875615136205,daily_revenue
RollingMean7,1,10103.606366078633,12640.32803916732,24.90114758550891,25.138910839115894,daily_revenue
LinearRegression,1,8743.80745751771,10596.823748588109,25.071865825605784,21.807824629209694,daily_revenue
RandomForestRegressor,1,9248.328825712202,11375.893215201728,22.55991711766495,23.00658760460864,daily_revenue
HistGradientBoostingRegressor,1,8312.596699800748,10256.995442879723,20.848318394917193,20.937096974592045,daily_revenue
NaiveLastValue,2,12421.565333333334,14652.815006040762,35.50257864906907,44.24262291187367,daily_revenue
HistoricalMean,2,9558.871645669295,11557.539862060987,28.64438069393768,32.099488482433706,daily_revenue
SeasonalNaive7,2,8010.123333333334,10258.728635950947,26.574382093489845,26.2701878595476,daily_revenue
RollingMean7,2,7909.4545557997735,10016.901075178363,25.26217052229104,25.87975726824574,daily_revenue
LinearRegression,2,12837.908837761941,14672.894548968039,44.768764512300955,34.48437560125601,daily_revenue
RandomForestRegressor,2,8506.053508747942,10432.948440851378,26.291486872858393,28.141800162501145,daily_revenue
HistGradientBoostingRegressor,2,7977.535624586804,9636.084367069028,28.275998397249197,24.038649549806994,daily_revenue
NaiveLastValue,3,7225.441000000002,8747.09946371577,27.234304314790908,24.854455393914602,daily_revenue
HistoricalMean,3,8104.555822800495,10085.657874041945,26.70190121891976,28.087722066089725,daily_revenue
SeasonalNaive7,3,8017.935666666669,9427.92425722315,31.835116052771678,27.545454854964497,daily_revenue
RollingMean7,3,7364.442186789268,9034.02877729487,31.661383650284336,25.10669205539228,daily_revenue
LinearRegression,3,16897.604091127036,19473.281688840765,69.93182047328162,45.553090980823754,daily_revenue
RandomForestRegressor,3,7694.227059856834,9406.289922897995,32.58770813531175,25.559884314171068,daily_revenue
HistGradientBoostingRegressor,3,7783.384563059381,9583.733533990839,32.38208013255622,25.46995831837144,daily_revenue
