dominant_product_category,orders,late_orders,late_rate,true_positives,false_negatives,false_positives,recall,false_negative_rate
agro_industry_and_commerce,46,0,0.0,0,0,6,,
air_conditioning,34,0,0.0,0,0,5,,
art,48,7,0.14583333333333334,1,6,1,0.14285714285714285,0.8571428571428571
arts_and_craftmanship,19,2,0.10526315789473684,2,0,3,1.0,0.0
audio,57,1,0.017543859649122806,1,0,43,1.0,0.0
auto,767,51,0.06649282920469361,39,12,360,0.7647058823529411,0.23529411764705882
baby,464,36,0.07758620689655173,32,4,246,0.8888888888888888,0.1111111111111111
bed_bath_table,1247,63,0.05052125100240577,54,9,584,0.8571428571428571,0.14285714285714285
books_general_interest,67,8,0.11940298507462686,1,7,16,0.125,0.875
books_imported,9,1,0.1111111111111111,0,1,2,0.0,1.0
books_technical,59,8,0.13559322033898305,0,8,12,0.0,1.0
christmas_supplies,21,1,0.047619047619047616,1,0,12,1.0,0.0
cine_photo,18,0,0.0,0,0,12,,
computers,19,3,0.15789473684210525,2,1,6,0.6666666666666666,0.3333333333333333
computers_accessories,880,50,0.056818181818181816,37,13,331,0.74,0.26
consoles_games,119,7,0.058823529411764705,6,1,32,0.8571428571428571,0.14285714285714285
construction_tools_construction,262,21,0.08015267175572519,19,2,181,0.9047619047619048,0.09523809523809523
construction_tools_lights,103,11,0.10679611650485436,10,1,59,0.9090909090909091,0.09090909090909091
construction_tools_safety,39,2,0.05128205128205128,0,2,5,0.0,1.0
cool_stuff,268,20,0.07462686567164178,7,13,50,0.35,0.65
costruction_tools_garden,40,3,0.075,2,1,15,0.6666666666666666,0.3333333333333333
costruction_tools_tools,24,2,0.08333333333333333,1,1,7,0.5,0.5
diapers_and_hygiene,7,0,0.0,0,0,0,,
drinks,46,3,0.06521739130434782,2,1,19,0.6666666666666666,0.3333333333333333
dvds_blu_ray,3,1,0.3333333333333333,1,0,1,1.0,0.0
electronics,318,16,0.050314465408805034,15,1,128,0.9375,0.0625
fashio_female_clothing,2,0,0.0,0,0,1,,
fashion_bags_accessories,219,12,0.0547945205479452,10,2,84,0.8333333333333334,0.16666666666666666
fashion_male_clothing,12,0,0.0,0,0,2,,
fashion_shoes,8,0,0.0,0,0,4,,
fashion_sport,1,1,1.0,0,1,0,0.0,1.0
fashion_underwear_beach,4,1,0.25,0,1,0,0.0,1.0
fixed_telephony,24,1,0.041666666666666664,0,1,4,0.0,1.0
flowers,2,0,0.0,0,0,1,,
food,166,20,0.12048192771084337,17,3,82,0.85,0.15
food_drink,34,1,0.029411764705882353,0,1,12,0.0,1.0
furniture_bedroom,20,1,0.05,0,1,6,0.0,1.0
furniture_decor,785,43,0.05477707006369427,32,11,356,0.7441860465116279,0.2558139534883721
furniture_living_room,90,11,0.12222222222222222,10,1,46,0.9090909090909091,0.09090909090909091
furniture_mattress_and_upholstery,1,0,0.0,0,0,1,,
garden_tools,318,11,0.03459119496855346,6,5,131,0.5454545454545454,0.45454545454545453
health_beauty,1723,152,0.08821822402785838,106,46,686,0.6973684210526315,0.3026315789473684
home_appliances,163,10,0.06134969325153374,0,10,24,0.0,1.0
home_appliances_2,45,3,0.06666666666666667,2,1,18,0.6666666666666666,0.3333333333333333
home_comfort_2,2,0,0.0,0,0,2,,
home_confort,42,2,0.047619047619047616,2,0,27,1.0,0.0
home_construction,107,8,0.07476635514018691,4,4,40,0.5,0.5
housewares,1144,83,0.07255244755244755,45,38,359,0.5421686746987951,0.4578313253012048
industry_commerce_and_business,29,2,0.06896551724137931,2,0,17,1.0,0.0
kitchen_dining_laundry_garden_furniture,46,0,0.0,0,0,14,,
luggage_accessories,120,10,0.08333333333333333,3,7,15,0.3,0.7
market_place,14,1,0.07142857142857142,0,1,0,0.0,1.0
music,10,1,0.1,1,0,1,1.0,0.0
musical_instruments,86,6,0.06976744186046512,5,1,51,0.8333333333333334,0.16666666666666666
office_furniture,104,12,0.11538461538461539,1,11,36,0.08333333333333333,0.9166666666666666
party_supplies,15,0,0.0,0,0,4,,
pc_gamer,2,0,0.0,0,0,2,,
perfumery,398,20,0.05025125628140704,16,4,164,0.8,0.2
pet_shop,348,18,0.05172413793103448,12,6,102,0.6666666666666666,0.3333333333333333
portateis_cozinha_e_preparadores_de_alimentos,11,1,0.09090909090909091,0,1,2,0.0,1.0
signaling_and_security,41,2,0.04878048780487805,0,2,18,0.0,1.0
small_appliances,70,4,0.05714285714285714,0,4,8,0.0,1.0
small_appliances_home_oven_and_coffee,31,0,0.0,0,0,12,,
sports_leisure,960,50,0.052083333333333336,37,13,363,0.74,0.26
stationery,358,33,0.09217877094972067,13,20,124,0.3939393939393939,0.6060606060606061
telephony,504,36,0.07142857142857142,22,14,194,0.6111111111111112,0.3888888888888889
toys,337,28,0.0830860534124629,13,15,103,0.4642857142857143,0.5357142857142857
unknown,71,3,0.04225352112676056,3,0,31,1.0,0.0
watches_gifts,1020,53,0.05196078431372549,41,12,465,0.7735849056603774,0.22641509433962265
