customer_state,orders,late_orders,late_rate,true_positives,false_negatives,false_positives,recall,false_negative_rate
AC,9,0,0.0,0,0,1,,
AL,46,4,0.08695652173913043,4,0,37,1.0,0.0
AM,22,1,0.045454545454545456,0,1,0,0.0,1.0
AP,9,0,0.0,0,0,3,,
BA,458,22,0.048034934497816595,19,3,361,0.8636363636363636,0.13636363636363635
CE,168,2,0.011904761904761904,2,0,142,1.0,0.0
DF,356,14,0.03932584269662921,9,5,180,0.6428571428571429,0.35714285714285715
ES,272,13,0.04779411764705882,13,0,184,1.0,0.0
GO,275,11,0.04,8,3,158,0.7272727272727273,0.2727272727272727
MA,83,12,0.14457831325301204,12,0,67,1.0,0.0
MG,1581,33,0.020872865275142316,19,14,510,0.5757575757575758,0.42424242424242425
MS,96,15,0.15625,15,0,62,1.0,0.0
MT,110,1,0.00909090909090909,1,0,59,1.0,0.0
PA,114,3,0.02631578947368421,3,0,90,1.0,0.0
PB,90,5,0.05555555555555555,5,0,69,1.0,0.0
PE,241,12,0.04979253112033195,12,0,190,1.0,0.0
PI,58,6,0.10344827586206896,5,1,41,0.8333333333333334,0.16666666666666666
PR,743,24,0.03230148048452221,7,17,187,0.2916666666666667,0.7083333333333334
RJ,1625,88,0.05415384615384616,86,2,1051,0.9772727272727273,0.022727272727272728
RN,60,1,0.016666666666666666,1,0,49,1.0,0.0
RO,26,0,0.0,0,0,6,,
RR,5,0,0.0,0,0,4,,
RS,720,24,0.03333333333333333,14,10,382,0.5833333333333334,0.4166666666666667
SC,462,16,0.03463203463203463,11,5,318,0.6875,0.3125
SE,52,2,0.038461538461538464,2,0,45,1.0,0.0
SP,6750,643,0.09525925925925927,383,260,1524,0.5956454121306376,0.40435458786936235
TO,40,5,0.125,5,0,28,1.0,0.0
